gap_bytes,fn_mod64,top64,top_len,land64,bottom_len,crosses64,ns_per_iter,cycles
208,0,0,11,29,13,0,0.196,1.00
209,0,0,11,30,13,0,0.196,1.00
210,0,0,11,31,13,0,0.196,1.00
211,0,0,11,32,13,0,0.196,1.01
212,0,0,11,33,13,0,0.196,1.00
213,0,0,11,34,13,0,0.196,1.00
214,0,0,11,35,13,0,0.196,1.01
215,0,0,11,36,13,0,0.195,1.00
216,0,0,11,37,13,0,0.196,1.00
217,0,0,11,38,13,0,0.196,1.01
218,0,0,11,39,13,0,0.196,1.00
219,0,0,11,40,13,0,0.196,1.01
220,0,0,11,41,13,0,0.195,1.00
221,0,0,11,42,13,0,0.196,1.01
222,0,0,11,43,13,0,0.196,1.01
223,0,0,11,44,13,0,0.196,1.01
224,0,0,11,45,13,0,0.196,1.01
225,0,0,11,46,13,0,0.195,1.00
226,0,0,11,47,13,0,0.195,1.00
227,0,0,11,48,13,0,0.196,1.00
228,0,0,11,49,13,0,0.196,1.00
229,0,0,11,50,13,0,0.196,1.00
230,0,0,11,51,13,0,0.196,1.00
231,0,0,11,52,13,1,0.391,2.01
232,0,0,11,53,13,1,0.391,2.01
233,0,0,11,54,13,1,0.391,2.01
234,0,0,11,55,13,1,0.391,2.01
235,0,0,11,56,13,1,0.391,2.01
236,0,0,11,57,13,1,0.391,2.01
237,0,0,11,58,13,1,0.391,2.01
238,0,0,11,59,13,1,0.391,2.01
239,0,0,11,60,13,1,0.391,2.01
240,0,0,11,61,13,1,0.391,2.01
241,0,0,11,62,13,1,0.391,2.01
242,0,0,11,63,13,1,0.391,2.01
243,0,0,11,0,13,0,0.195,1.00
244,0,0,11,1,13,0,0.196,1.01
245,0,0,11,2,13,0,0.196,1.01
246,0,0,11,3,13,0,0.244,1.25
247,0,0,11,4,13,0,0.196,1.00
248,0,0,11,5,13,0,0.195,1.00
249,0,0,11,6,13,0,0.195,1.00
250,0,0,11,7,13,0,0.196,1.01
251,0,0,11,8,13,0,0.196,1.00
252,0,0,11,9,13,0,0.196,1.01
253,0,0,11,10,13,0,0.196,1.00
254,0,0,11,11,13,0,0.244,1.25
255,0,0,11,12,13,0,0.196,1.01
